,CO2,Aktive,Distanz,timestamp,Teamplatzierung
0,"937,1",65,6.375,1599390960.0,6
0,"943,8",66,6.420,1599391800.0,6
0,"943,8",66,6.420,1599392820.0,6
0,"943,8",66,6.420,1599393600.0,6
0,"943,8",66,6.420,1599394500.0,6
0,"943,8",66,6.420,1599395400.0,6
0,"943,8",66,6.420,1599396300.0,6
0,"943,8",66,6.420,1599397200.0,6
0,"943,8",66,6.420,1599398100.0,6
0,"967,1",66,6.579,1599399000.0,6
0,"967,1",66,6.579,1599399900.0,6
0,"967,1",66,6.579,1599400800.0,6
0,"967,1",66,6.579,1599401760.0,6
0,"967,1",66,6.579,1599402720.0,6
0,"967,1",66,6.579,1599403500.0,6
0,"967,1",66,6.579,1599404400.0,6
0,"967,1",66,6.579,1599405420.0,6
0,"972,1",66,6.613,1599406200.0,6
0,"972,1",66,6.613,1599407100.0,6
0,"972,1",66,6.613,1599408060.0,6
0,"972,1",66,6.613,1599408900.0,6
0,"972,1",66,6.613,1599409800.0,6
0,"972,1",66,6.613,1599410700.0,6
0,"972,1",66,6.613,1599411660.0,6
0,"972,1",66,6.613,1599412500.0,6
0,"1.011,2",67,6.879,1599413940.0,6
0,"1.011,2",67,6.879,1599414300.0,6
0,"1.011,2",67,6.879,1599415200.0,6
0,"1.011,2",67,6.879,1599416160.0,6
0,"1.011,2",67,6.879,1599417060.0,6
0,"1.011,2",67,6.879,1599418020.0,6
0,"1.011,2",67,6.879,1599418800.0,6
0,"1.011,2",67,6.879,1599419700.0,6
0,"1.040,4",69,7.078,1599420600.0,6
0,"1.040,4",69,7.078,1599421500.0,6
0,"1.040,4",69,7.078,1599422400.0,6
0,"1.040,4",69,7.078,1599423300.0,6
0,"1.040,4",69,7.078,1599424200.0,6
0,"1.040,4",69,7.078,1599425100.0,6
0,"1.040,4",69,7.078,1599426000.0,6
0,"1.040,4",69,7.078,1599426900.0,6
0,"1.155,3",70,7.859,1599427800.0,6
0,"1.155,3",70,7.859,1599428700.0,6
0,"1.155,3",70,7.859,1599429600.0,6
0,"1.155,3",70,7.859,1599430500.0,6
0,"1.155,3",70,7.859,1599431400.0,6
0,"1.155,3",70,7.859,1599432300.0,6
0,"1.155,3",70,7.859,1599433200.0,6
0,"1.155,3",70,7.859,1599434100.0,6
0,"1.176,2",70,8.002,1599435000.0,6
0,"1.176,2",70,8.002,1599435900.0,6
0,"1.176,2",70,8.002,1599436800.0,6
0,"1.176,2",70,8.002,1599437700.0,6
0,"1.176,2",70,8.002,1599438600.0,6
0,"1.176,2",70,8.002,1599439500.0,6
0,"1.176,2",70,8.002,1599440400.0,6
0,"1.176,2",70,8.002,1599441300.0,6
0,"1.176,2",70,8.002,1599442200.0,6
0,"1.176,2",70,8.002,1599443100.0,6
0,"1.176,2",70,8.002,1599444000.0,6
0,"1.176,2",70,8.002,1599444900.0,6
0,"1.176,2",70,8.002,1599445800.0,6
0,"1.176,2",70,8.002,1599446700.0,6
0,"1.176,2",70,8.002,1599447600.0,6
0,"1.176,2",70,8.002,1599448500.0,6
0,"1.176,2",70,8.002,1599449400.0,6
0,"1.176,2",70,8.002,1599450300.0,6
0,"1.176,2",70,8.002,1599451200.0,6
0,"1.176,2",70,8.002,1599452100.0,6
0,"1.176,2",70,8.002,1599453000.0,6
0,"1.176,2",70,8.002,1599453900.0,6
0,"1.176,2",70,8.002,1599454800.0,6
0,"1.176,2",70,8.002,1599455700.0,6
0,"1.183,1",70,8.049,1599456600.0,6
0,"1.183,1",70,8.049,1599457560.0,6
0,"1.183,1",70,8.049,1599458520.0,6
0,"1.183,1",70,8.049,1599459300.0,6
0,"1.183,1",70,8.049,1599460200.0,6
0,"1.183,1",70,8.049,1599461340.0,6
0,"1.183,1",70,8.049,1599462180.0,6
0,"1.183,1",70,8.049,1599463080.0,6
0,"1.183,1",70,8.049,1599464040.0,6
0,"1.183,1",70,8.049,1599464940.0,6
0,"1.189,6",70,8.093,1599465600.0,6
0,"1.189,6",70,8.093,1599466500.0,6
0,"1.189,6",70,8.093,1599467580.0,6
0,"1.189,6",70,8.093,1599468300.0,6
0,"1.189,6",70,8.093,1599469260.0,6
0,"1.189,6",70,8.093,1599470100.0,6
0,"1.189,6",70,8.093,1599471120.0,6
0,"1.189,6",70,8.093,1599471900.0,6
0,"1.198,3",71,8.152,1599472920.0,6
0,"1.198,3",71,8.152,1599474000.0,6
0,"1.198,3",71,8.152,1599474600.0,6
0,"1.198,3",71,8.152,1599475500.0,6
0,"1.198,3",71,8.152,1599476400.0,6
0,"1.198,3",71,8.152,1599477300.0,6
0,"1.198,3",71,8.152,1599479100.0,6
0,"1.226,2",72,8.341,1599480120.0,6
0,"1.226,2",72,8.341,1599481020.0,6
0,"1.226,2",72,8.341,1599481980.0,6
0,"1.226,2",72,8.341,1599482700.0,6
0,"1.226,2",72,8.341,1599483600.0,6
0,"1.226,2",72,8.341,1599484620.0,6
0,"1.226,2",72,8.341,1599485520.0,6
0,"1.226,2",72,8.341,1599486360.0,6
0,"1.226,2",72,8.341,1599487440.0,6
0,"1.260,5",73,8.575,1599488100.0,6
0,"1.260,5",73,8.575,1599489000.0,6
0,"1.260,5",73,8.575,1599489900.0,6
0,"1.260,5",73,8.575,1599490860.0,6
0,"1.260,5",73,8.575,1599491760.0,6
0,"1.260,5",73,8.575,1599492720.0,6
0,"1.260,5",73,8.575,1599493500.0,6
0,"1.260,5",73,8.575,1599494400.0,6
0,"1.307,4",73,8.894,1599495600.0,6
0,"1.307,4",73,8.894,1599496260.0,6
0,"1.307,4",73,8.894,1599497160.0,6
0,"1.307,4",73,8.894,1599498060.0,6
0,"1.307,4",73,8.894,1599500700.0,6
0,"1.307,4",73,8.894,1599501900.0,6
0,"1.335,6",73,9.086,1599502860.0,6
0,"1.335,6",73,9.086,1599503400.0,6
0,"1.335,6",73,9.086,1599504360.0,6
0,"1.335,6",73,9.086,1599505200.0,6
0,"1.335,6",73,9.086,1599506100.0,6
0,"1.335,6",73,9.086,1599507420.0,6
0,"1.335,6",73,9.086,1599507960.0,6
0,"1.335,6",73,9.086,1599508800.0,6
0,"1.375,2",73,9.355,1599509760.0,6
0,"1.375,2",73,9.355,1599510780.0,6
0,"1.375,2",73,9.355,1599511500.0,6
0,"1.375,2",73,9.355,1599512400.0,6
0,"1.375,2",73,9.355,1599513300.0,6
0,"1.375,2",73,9.355,1599514200.0,6
0,"1.375,2",73,9.355,1599515100.0,6
0,"1.375,2",73,9.355,1599516000.0,6
0,"1.453,8",76,9.890,1599516900.0,6
0,"1.453,8",76,9.890,1599517800.0,6
0,"1.453,8",76,9.890,1599518700.0,6
0,"1.453,8",76,9.890,1599519600.0,6
0,"1.453,8",76,9.890,1599520500.0,6
0,"1.453,8",76,9.890,1599521400.0,6
0,"1.453,8",76,9.890,1599522300.0,6
0,"1.453,8",76,9.890,1599523200.0,6
0,"1.460,0",76,9.932,1599524100.0,6
0,"1.460,0",76,9.932,1599525000.0,6
0,"1.460,0",76,9.932,1599525900.0,6
0,"1.460,0",76,9.932,1599526800.0,6
0,"1.460,0",76,9.932,1599527700.0,6
0,"1.460,0",76,9.932,1599528600.0,6
0,"1.460,0",76,9.932,1599529500.0,6
0,"1.460,0",76,9.932,1599530400.0,6
0,"1.460,0",76,9.932,1599531300.0,6
0,"1.460,0",76,9.932,1599532200.0,6
0,"1.460,0",76,9.932,1599533100.0,6
0,"1.460,0",76,9.932,1599534000.0,6
0,"1.460,0",76,9.932,1599534900.0,6
0,"1.460,0",76,9.932,1599535800.0,6
0,"1.460,0",76,9.932,1599536700.0,6
0,"1.460,0",76,9.932,1599537600.0,6
0,"1.460,0",76,9.932,1599538500.0,6
0,"1.460,0",76,9.932,1599539400.0,6
0,"1.460,0",76,9.932,1599540300.0,6
0,"1.460,0",76,9.932,1599541200.0,6
0,"1.460,0",76,9.932,1599542100.0,6
0,"1.460,0",76,9.932,1599543000.0,6
0,"1.460,0",76,9.932,1599543900.0,6
0,"1.460,0",76,9.932,1599544800.0,6
0,"1.460,0",76,9.932,1599545760.0,6
0,"1.460,0",76,9.932,1599546600.0,6
0,"1.460,0",76,9.932,1599547500.0,6
0,"1.460,0",76,9.932,1599548400.0,6
0,"1.460,0",76,9.932,1599549300.0,6
0,"1.460,0",76,9.932,1599550200.0,6
0,"1.460,0",76,9.932,1599551100.0,6
0,"1.460,0",76,9.932,1599552000.0,6
0,"1.473,1",77,10.021,1599553800.0,6
0,"1.473,1",77,10.021,1599554700.0,6
0,"1.473,1",77,10.021,1599555660.0,6
0,"1.473,1",77,10.021,1599556500.0,6
0,"1.473,1",77,10.021,1599557400.0,6
0,"1.473,1",77,10.021,1599558300.0,6
0,"1.473,1",77,10.021,1599559260.0,6
